marka,ban növü,rəng,mühərrik,sürətlər qutusu,yeni,vəziyyəti,yürüş,yaş,qiymət
48,11,7,0,1,1,3,335500.0,11.0,7300
33,9,13,1,0,1,3,118000.0,9.0,40900
33,9,13,1,0,1,3,182000.0,9.0,41500
54,11,7,0,0,1,3,160000.0,12.0,23800
33,9,0,1,0,1,3,181000.0,10.0,33500
3,9,13,0,0,1,3,287000.0,20.0,16900
3,9,7,0,0,1,3,181800.0,18.0,27000
33,11,7,0,0,1,3,375000.0,11.0,7200
30,9,7,0,0,1,3,100000.0,10.0,51000
42,11,2,1,0,1,3,239297.0,9.0,45560
54,9,7,0,0,1,3,93000.0,8.0,62560
42,9,3,2,0,1,3,27500.0,3.0,108800
10,9,7,0,0,0,3,0.0,1.0,190000
38,9,7,4,0,0,3,0.0,1.0,123250
8,9,0,4,0,0,3,0.0,1.0,60350
42,9,7,0,0,0,3,0.0,1.0,526244
18,11,0,0,0,1,3,83000.0,6.0,23200
17,2,7,0,0,1,3,173000.0,11.0,16900
11,3,1,0,0,1,3,90123.0,17.0,15640
3,11,0,0,0,1,3,84375.0,10.0,34000
3,9,3,0,0,1,3,14200.0,2.0,162350
25,9,7,0,0,1,3,261000.0,11.0,30430
33,11,13,0,0,1,3,199559.0,13.0,22400
45,2,7,0,0,1,3,40999.0,10.0,13900
54,9,0,0,0,1,3,139000.0,13.0,59500
54,2,0,3,0,1,3,84883.0,7.0,18900
57,11,7,4,0,1,3,10500.0,2.0,59160
10,9,0,0,0,1,3,172000.0,7.0,23500
42,11,7,0,0,1,3,223000.0,27.0,11800
35,9,7,0,0,1,3,170590.0,10.0,89250
45,9,3,0,0,1,3,101500.0,10.0,21500
34,2,8,0,1,1,3,293002.0,31.0,4500
57,11,7,0,0,1,3,215842.0,17.0,8700
33,9,0,0,0,0,3,0.0,1.0,54900
46,11,4,0,0,1,3,287000.0,25.0,6800
46,12,4,0,1,1,3,338999.0,26.0,8000
33,11,0,0,0,1,3,117000.0,6.0,33000
33,9,7,1,0,1,3,95000.0,8.0,41700
10,11,3,0,0,1,3,225000.0,10.0,14800
20,13,1,0,1,1,3,253352.0,24.0,8800
26,11,2,1,0,1,3,215000.0,9.0,30800
48,11,7,0,1,1,3,335500.0,11.0,7300
33,9,13,1,0,1,3,118000.0,9.0,40900
33,9,13,1,0,1,3,182000.0,9.0,41500
54,11,7,0,0,1,3,160000.0,12.0,23800
33,9,0,1,0,1,3,181000.0,10.0,33500
47,5,7,2,0,0,3,0.0,3.0,264350
0,11,7,0,0,0,2,0.0,2.0,92092
35,9,7,0,0,1,3,27000.0,5.0,126650
47,4,3,0,0,1,3,20800.0,4.0,206550
30,9,13,0,0,1,3,32800.0,4.0,73950
37,9,7,3,0,1,3,7000.0,3.0,53890
18,9,0,0,0,1,3,126500.0,10.0,33500
33,12,13,0,1,1,3,339000.0,16.0,13800
35,9,7,0,0,1,3,50000.0,5.0,227800
2,11,4,0,0,1,3,265680.0,16.0,9500
35,9,7,0,0,1,3,172000.0,13.0,45900
42,11,7,1,0,1,3,233000.0,11.0,31500
37,11,7,3,0,0,3,0.0,1.0,93330
33,9,0,1,0,1,3,119000.0,9.0,39900
57,9,0,0,0,1,3,117000.0,5.0,81600
54,9,2,2,0,0,3,0.0,1.0,52700
14,1,0,0,1,1,3,270000.0,16.0,3950
18,11,10,0,0,1,3,205000.0,8.0,18800
33,9,0,3,0,1,3,82650.0,4.0,71600
26,9,0,0,0,1,3,194000.0,18.0,15900
54,9,0,0,0,1,3,139000.0,13.0,59500
54,2,0,3,0,1,3,84883.0,7.0,18900
57,11,7,4,0,1,3,10500.0,2.0,59160
10,9,0,0,0,1,3,172000.0,7.0,23500
42,11,7,0,0,1,3,223000.0,27.0,11800
35,9,7,0,0,1,2,170590.0,10.0,89250
45,9,3,0,0,1,3,101500.0,10.0,21500
34,2,8,0,1,1,3,293002.0,31.0,4500
57,11,7,0,0,1,3,215842.0,17.0,8700
33,9,0,0,0,0,3,0.0,1.0,54900
46,11,4,0,0,1,3,287000.0,25.0,6800
46,12,4,0,1,1,3,338999.0,26.0,8000
33,11,0,0,0,1,3,117000.0,6.0,33000
33,9,7,1,0,1,3,95000.0,8.0,41700
26,13,0,1,1,0,3,0.0,1.0,99900
37,9,7,3,0,0,3,0.0,1.0,117130
36,9,7,2,0,0,3,0.0,1.0,59900
35,9,7,0,0,1,3,50000.0,5.0,227800
45,9,0,0,0,1,3,111045.0,4.0,28800
